Lnumber,LID_CSV,LitList
115,L00254,"Enghoff H. (1985) The millipede family Nemasomatidae. With the description of a new genus, and a revision of <i>Orinisobates</i> (Diplopoda: Julida). Insect Systematics & Evolution, 16(1): 27–67."
116,L01219,"Enghoff H. (1986) Leg polymorphism in a julid millipede, <i>Anaulaciulus inaequipes</i> n.sp. with a list of congeneric species (Diplopoda, Julida, Julidae). Steenstrupia, 12(7): 117–125."
117,L01340,Enghoff H. (1990) The ground-plan of chilognathan millipedes (external morphology). p. 1–21. In: Minelli A. (ed.) Proceedings of the 7th International Congress of Myriapodology. E.J. Brill.
118,L00019,"Enghoff H. (1991) A revised cladistic analysis and classification of the millipede order Julida with establishment of four new families and description of a new nemasomatoid genus from Japan. Journal of Zoological Systematics and Evolutionary Research, 29(4): 241–263."
119,L00411,"Enghoff H. (1992) <i>Dolichoiulus</i> - a mostly Macaronesian multitude of millipedes with the description of a related new genus from Tenerife, Canary Islands (Diplopoda, Julida, Julidae). Entomologica scandinavica, Supplement, (40): 1–158."
120,L01255,"Enghoff H. (1993) Phylogenetic biogeography of a Holarctic group: the julidan millipedes. Cladistic subordinateness as an indicator of dispersal. Journal of Biogeography, 20(5): 525–536."
121,L01256,"Enghoff H. (1993) Cape Verdean millipedes (Diplopoda). Tropical Zoology, 6(1): 207–216."
122,L01661,"Enghoff H. (2010) A new strinkingly coloured species of <i>Siphonocryptus</i>, sixth of its order (Diplopoda: Siphonocryptida). Zootaxa, 2681(1): 66–68."
123,L01022,"Enghoff H., Dohle W. and Blower J. G. (1993) Anamorphosis in millipedes (Diplopoda) — the present state of knowledge with some developmental and phylogenetic considerations. Zoological Journal of the Linnean Society, 109(2): 103–234."
124,L01660,"Enghoff H. and Golovatch S. I. (1995) A revision of the Siphonocryptidae (Diplopoda, Polyzoniida). Zoological Scripta, 24(1): 29–41."
125,L01423,"Enghoff H., Golovatch S. I. and Nguyen A. D. (2004) A review of the millipede fauna of Vietnam (Diplopoda). Arthropoda Selecta, 13(1–2): 29–43."
126,L01334,"江崎 悌三 (1932) 多足類 蜘蛛類. 岩波書店, 東京. 124 pp."
127,L00557,"江崎 悌三 (1934) 列車運轉を妨害する倍脚類. 植物及動物, 2(5): 821–833."
128,L01500,"江崎 悌三 (1951) 結合類 Symphyla. p. 941. In: 改訂增補 日本動物圖鑑. 第五版. 北隆館, 東京."
129,L01501,"江崎 悌三 (1951) 少脚類 Pauropoda. p. 942–943. In: 改訂增補 日本動物圖鑑. 第五版. 北隆館, 東京."
130,L01391,"江崎 悌三・村上 子郎 (1939) パラオ群島の動物名 (二). 科學南洋, 2(1): 9–15."
131,L00998,"Eydoux J. F. T. and Souleyet L. F. A. (1842 (not 1841)) Myriapods. p. 275–280. In: Bertrand A. (ed.) Voyage autour du monde exécuté pendant les années 1836 et 1837 sur la corvette la Bonite, commandée par M. Vaillant, Zoologie. Paris."
132,L01582,"Ferguson R. I. (2021) Myriapods. p. 280–287. In: Ferguson R. I. The Bugs of Hong Kong. Regal Printing Limited, Hong Kong. 321 pp."
133,L01580,"Fernández R., Edgecombe G. D. and Giribet G. (2016) Exploring phylogenetic relationships within Myriapoda and the effects of matrix composition and occupancy on phylogenomic reconstruction. Systematic Biology, 65(5): 871–889."
134,L01262,"Fernández R., Edgecombe G. D. and Giribet G. (2018) Phylogenomics illuminates the backbone of the Myriapoda Tree of Life and reconciles morphological and molecular phylogenies. Scientific Reports, 8: 83."
135,L01579,"Fernández R., Laumer C. E., Vahtera V., Libro S., Kaluziak S., Sharma P. P., Pérez-Porro A. R., Edgecombe G. D. and Giribet G. (2014) Evaluating topological conflict in centipede phylogeny using transcriptomic data sets. Molecular Biology and Evolution, 31(6): 1500–1513."
136,L01478,"Foddai D., Bonato L., Pereira L. A. and Minelli A. (2003) Phylogeny and systematics of the Arrupinae (Chilopoda Geophilomorpha Mecistocephalidae) with the description of a new dwarfed species. Journal of Natural History, 37(10): 1247–1267."
137,L01678,"富士 尭 (1994) ムカデとヤスデ. p. 176–179. 日野の自然を守る会 (編) 新・日野の動物ガイドブック. 日野市, 日野."
138,L01102,"藤川 粋至・美馬 純一・吉田 利男 (2001) 霧ヶ峰における1999年から2000年にかけてのキシャヤスデの群遊について. 環境科学年報，信州大学, 23: 101–105."
139,L00709,"藤川 粋至・美馬 純一・吉田 利男・伊藤 雅道・豊田 鮎 (2002) 2001年秋季の長野県中部山岳地帯を中心とするキシャヤスデの群遊状況について. Edaphologia, (70): 41–44."
140,L01101,"藤川 粋至・吉田 利男 (1999) キシャヤスデの摂食活動の変動について. 環境科学年報，信州大学, 21: 69–76."
141,L01390,"藤川 粋至・吉田 利男 (2005) キシャヤスデ (<i>Parafontaria laminata armigera</i> Verhoeff) 雄の内部生殖器官の形態と生殖細胞の量的変化. Edaphologia, (78): 5–10."
142,L01299,"藤田 朋子・大塚 ちかこ・宇野 リベカ (1981) 自然教育園内の四分林で調査した大型土壌無脊椎動物について. 自然教育園報告, (12): 31–75."
143,L01320,"Fujiyama S. (1996) Annual thermoperiod regulating an eight-year life-cycle of a periodical diplopod, <i>Parafontaria laminata armigera</i> Verhoeff (Diplopoda). Pedobiologia, 40(6): 541–547."
144,L01093,"藤山 静雄 (2009) 外来種ヤンバルトサカヤスデの日本本土での定着の可能性について. 環境科学年報，信州大学, 33: 133–136."
145,L00707,"藤山 静雄・石田 剛之・Shailendra Kumar Shah (2012) 外来種ヤンバルトサカヤスデの生態と大発生 — キシャヤスデの生態との対比を中心に —. 環境科学年報，信州大学, 34: 110–116."
